violation_id,vehicle_id,speed_limit,violation_date,violation_time
1,179,80,2025-02-12,16:54:07
2,41,80,2025-02-23,02:07:01
3,169,70,2025-03-03,09:24:10
4,6,70,2025-02-03,03:45:09
5,106,70,2025-02-14,06:10:16
6,67,70,2025-01-06,10:42:22
7,160,90,2025-01-24,00:45:49
8,36,50,2025-01-04,00:30:56
9,10,60,2025-02-24,09:56:41
10,43,80,2025-02-19,01:43:15
11,79,70,2025-01-12,19:09:55
12,17,90,2025-02-13,19:12:42
13,48,60,2025-02-12,00:28:27
14,162,70,2025-01-22,08:06:04
15,197,60,2025-02-10,19:31:47
16,10,60,2025-01-30,05:01:11
17,161,90,2025-01-31,05:09:56
18,61,70,2025-02-23,05:49:15
19,185,80,2025-02-14,13:23:43
20,142,90,2025-02-25,18:23:18
21,200,50,2025-02-07,07:25:47
22,115,60,2025-02-28,12:06:09
23,3,80,2025-01-07,03:35:18
24,138,60,2025-01-30,08:02:31
25,116,90,2025-01-29,09:49:46
26,106,50,2025-02-03,20:01:35
27,39,80,2025-01-12,13:12:27
28,54,70,2025-01-10,19:47:03
29,173,90,2025-01-25,04:02:01
30,142,60,2025-02-11,00:19:17
31,160,60,2025-02-10,15:57:11
32,39,50,2025-03-01,04:36:20
33,104,90,2025-01-17,12:16:26
34,44,70,2025-02-05,21:46:20
35,164,70,2025-02-13,05:19:52
36,82,80,2025-02-24,20:55:01
37,68,70,2025-01-21,15:43:06
38,121,70,2025-01-21,08:15:50
39,175,60,2025-01-13,19:38:00
40,175,50,2025-02-25,14:00:29
41,27,90,2025-02-26,08:18:11
42,62,70,2025-02-19,04:10:13
43,96,70,2025-01-11,04:56:20
44,119,80,2025-01-13,11:25:00
45,14,70,2025-02-04,13:09:32
46,89,90,2025-02-16,08:28:46
47,147,80,2025-01-05,18:37:14
48,6,60,2025-02-27,21:03:37
49,130,50,2025-02-20,18:31:24
50,93,50,2025-01-08,15:25:18
51,75,70,2025-01-27,22:35:29
52,187,80,2025-02-04,13:32:27
53,103,60,2025-01-21,16:43:03
54,118,90,2025-02-03,08:34:11
55,128,60,2025-01-27,16:55:08
56,171,70,2025-01-03,10:59:26
57,78,70,2025-02-03,06:54:56
58,48,60,2025-02-24,13:15:39
59,65,90,2025-02-13,02:35:44
60,23,80,2025-01-02,21:53:47
61,81,70,2025-01-03,14:03:24
62,20,60,2025-02-28,03:00:21
63,32,60,2025-01-13,10:41:58
64,183,60,2025-01-14,10:16:36
65,148,90,2025-02-05,09:41:25
66,168,60,2025-01-30,16:28:38
67,137,50,2025-02-06,06:13:18
68,27,90,2025-03-02,09:26:09
69,171,50,2025-01-28,16:46:01
70,166,50,2025-02-10,01:33:35
71,63,90,2025-02-25,18:22:53
72,1,90,2025-01-14,07:03:26
73,37,50,2025-01-03,13:49:24
74,32,50,2025-02-28,02:29:49
75,151,90,2025-01-24,02:12:47
76,36,60,2025-03-02,01:40:55
77,103,50,2025-03-01,12:58:47
78,108,90,2025-02-11,10:58:46
79,126,70,2025-02-25,05:50:56
80,156,80,2025-01-11,11:48:20
81,160,80,2025-01-23,02:06:39
82,140,80,2025-01-28,18:28:48
83,14,90,2025-01-13,18:24:36
84,56,90,2025-01-10,19:13:36
85,72,60,2025-01-20,02:06:06
86,159,90,2025-02-19,15:24:36
87,171,80,2025-01-15,14:29:23
88,183,60,2025-01-14,08:28:16
89,33,90,2025-02-03,19:34:58
90,104,80,2025-01-15,04:37:04
91,46,70,2025-02-21,11:04:23
92,92,60,2025-01-18,14:14:17
93,123,90,2025-01-19,23:38:00
94,161,70,2025-01-13,05:38:21
95,178,70,2025-01-28,20:06:44
96,137,50,2025-01-29,07:58:51
97,74,60,2025-01-10,19:39:18
98,54,90,2025-01-17,07:40:50
99,61,70,2025-01-31,16:54:32
100,28,50,2025-02-11,21:36:22
